账单日期,类别,一级分类,二级分类,金额,客户/供应商,备注
2021/10/5,支出,日常运营,伙食费,-52,G331青富阿一标四工区桥涵队-马旭光面店,付面条款
2021/10/4,支出,办公费用,招待费,-591,G331青富阿一标四工区桥涵队-,购烟2条，酒水等款
2021/10/4,支出,办公费用,通信费,-200,G331青富阿一标四工区桥涵队-中国移动,付高治国手机话费
2021/10/4,支出,日常运营,伙食费,-211,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购蔬菜一批
2021/10/4,支出,日常运营,伙食费,-228,G331青富阿一标四工区桥涵队-青河友友大肉店,购猪肉款
2021/10/4,支出,日常运营,伙食费,-135,G331青富阿一标四工区桥涵队-马旭光面店,付面条、馒头、豆腐款
2021/10/4,支出,日常运营,燃气费,-115,G331青富阿一标四工区桥涵队-青河液化气站,换液化气瓶1瓶
2021/10/3,支出,日常运营,邮寄费,-164,G331青富阿一标四工区桥涵队-,顺丰快递邮寄费
2021/10/3,支出,机械物料,工机具,-200,G331青富阿一标四工区桥涵队-青河众信五金超市,购曲线锯1把
2021/10/3,支出,日常运营,伙食费,-84,G331青富阿一标四工区桥涵队-马旭光面店,付面条、馒头款
2021/10/2,收入,项目备用金,项目备用金,20000,G331青富阿一标四工区桥涵队-侯佳,侯佳付新疆阿勒泰生活费
2021/10/2,支出,人工支出,工人借支,-1500,G331青富阿一标四工区桥涵队-,付汤旭东借支1500元
2021/10/2,支出,办公费用,差旅费,-10360,G331青富阿一标四工区桥涵队-,付曹明高报西安-乌市10人机票款8760元，乌市-青河大巴车1600元
2021/10/2,支出,人工支出,工人借支,-10000,G331青富阿一标四工区桥涵队-,付曹明高、张五权、简云珍、赵凤奎、何松德5人离场借支路费，每人各2000元
2021/10/2,支出,办公费用,交通费,-314,G331青富阿一标四工区桥涵队-,付曹明高报自乌市-青河过路费、燃油费
2021/10/2,支出,机械物料,燃油费（柴油）,-1140,G331青富阿一标四工区桥涵队-,购煤炭2吨取暖和箱涵养生
2021/10/2,支出,机械物料,二三项料,-455,G331青富阿一标四工区桥涵队-青河众信五金超市,付电镐头、刷子、墨斗、钉锤等材料机具一批
2021/10/2,支出,日常运营,伙食费,-147,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付蔬菜一批款
2021/10/2,支出,日常运营,伙食费,-136,G331青富阿一标四工区桥涵队-马旭光面店,付面条、馒头、豆腐款
2021/10/1,支出,办公费用,房租水电物管,-200,G331青富阿一标四工区桥涵队-国家电网,付驻地房屋电费200元
2021/10/1,支出,日常运营,生活用品,-180,G331青富阿一标四工区桥涵队-青河众信五金超市,购小太阳2个
2021/10/1,支出,日常运营,伙食费,-286,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付调料、花椒、干辣椒等食品一批
2021/10/1,支出,日常运营,伙食费,-166,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购蔬菜一批
2021/9/30,支出,日常运营,伙食费,-116,G331青富阿一标四工区桥涵队-马旭光面店,付面条、馒头款
2021/9/30,支出,日常运营,伙食费,-521,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购土豆、洋葱、卷心菜、大米等蔬菜一批
2021/9/29,支出,日常运营,生活用品,-685,G331青富阿一标四工区桥涵队-青河惠华时代购物超市,购褥子、床单被罩1床、烧水器1个、会餐用食品一批
2021/9/29,支出,机械物料,二三项料,-2470,G331青富阿一标四工区桥涵队-青河众信五金超市,付电镐、搞头、毛毡、磨片、502电焊条10件、柴油喷灯、SBS防水卷材2卷、锯片等机具材料一批
2021/9/29,支出,日常运营,伙食费,-94,G331青富阿一标四工区桥涵队-马旭光面店,购馒头、面条、豆腐
2021/9/29,支出,日常运营,燃气费,-230,G331青富阿一标四工区桥涵队-青河液化气站,换液化气罐2瓶
2021/9/29,支出,机械物料,运费,-100,G331青富阿一标四工区桥涵队-青河货场,付提取发电机货运费
2021/9/28,支出,日常运营,伙食费,-188,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付蔬菜一批（韭菜、白菜等）
2021/9/28,支出,日常运营,伙食费,-248,G331青富阿一标四工区桥涵队-青河友友大肉店,购猪肉、排骨
2021/9/27,支出,日常运营,伙食费,-224,G331青富阿一标四工区桥涵队-,购桶装水、食品等款
2021/9/27,支出,机械物料,修理费,-255,G331青富阿一标四工区桥涵队-,付柴油发电机修理费
2021/9/27,支出,日常运营,生活用品,-120,G331青富阿一标四工区桥涵队-,5人洗澡费
2021/9/27,支出,机械物料,二三项料,-473,G331青富阿一标四工区桥涵队-青河众信五金超市,PVC穿线管、测线笔、帆布手套等
2021/9/27,支出,日常运营,伙食费,-154,G331青富阿一标四工区桥涵队-马旭光面店,购面条、馒头、鸡蛋等款
2021/9/27,支出,日常运营,伙食费,-115,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购青菜、豆腐、豆皮等蔬菜一批
2021/9/26,支出,机械物料,修理费,-230,G331青富阿一标四工区桥涵队-青河广达机电维修商行,付汽油发电机修理费
2021/9/26,支出,人工支出,工人借支,-1000,G331青富阿一标四工区桥涵队-,付虞小军借支1000元
2021/9/26,支出,日常运营,车辆燃油费（汽油）,-170,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付小货车加油款（王）
2021/9/26,支出,机械物料,周转材料,-335,G331青富阿一标四工区桥涵队-青河众信五金超市,付十字扣件50个，滚刷、套筒扳手等款
2021/9/26,支出,日常运营,伙食费,-54,G331青富阿一标四工区桥涵队-,购蔬菜一批
2021/9/26,支出,日常运营,伙食费,-371,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付菜籽油、酱油醋、大米等调料款
2021/9/26,支出,日常运营,伙食费,-88,G331青富阿一标四工区桥涵队-马旭光面店,付豆腐、面条、馒头款
2021/9/26,支出,机械物料,修理费,-560,G331青富阿一标四工区桥涵队-青河凌翔机电修理部,购防冻液、机油等款
2021/9/25,支出,日常运营,生活用品,-349,G331青富阿一标四工区桥涵队-青河胜龙家居,购劳保鞋、鞋垫、电热毯、帽子等款（2套）
2021/9/25,支出,日常运营,伙食费,-122,G331青富阿一标四工区桥涵队-马旭光面店,付面条、馒头款
2021/9/25,支出,日常运营,伙食费,-154.9,G331青富阿一标四工区桥涵队-青河惠华时代购物超市,付蔬菜食品一批
2021/9/25,支出,人工支出,工人借支,-500,G331青富阿一标四工区桥涵队-,付张五权借支500元
2021/9/25,支出,机械物料,周转材料,-1000,G331青富阿一标四工区桥涵队-青河废品站,付十字扣件285个
2021/9/24,支出,机械物料,工机具,-3139,G331青富阿一标四工区桥涵队-青河众信五金超市,付电线、电镐2把、炭火炉等机具材料一批
2021/9/24,支出,日常运营,伙食费,-36,G331青富阿一标四工区桥涵队-马旭光面店,付面条款
2021/9/24,支出,日常运营,伙食费,-275,G331青富阿一标四工区桥涵队-,付蔬菜食品等一批
2021/9/24,支出,日常运营,生活用品,-2845,G331青富阿一标四工区桥涵队-青河胜龙家居,付棉服22件，棉被19床
2021/9/24,支出,日常运营,伙食费,-78,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付蔬菜等一批
2021/9/24,支出,机械物料,周转材料,-5760,G331青富阿一标四工区桥涵队-青河申景平,付6米钢管64根
2021/9/24,支出,日常运营,伙食费,-100,G331青富阿一标四工区桥涵队-,购猪肉等肉食
2021/9/24,支出,机械物料,二三项料,-6044,G331青富阿一标四工区桥涵队-青河腾博建材,付木方280根，大板50张
2021/9/23,收入,项目备用金,项目备用金,30000,G331青富阿一标四工区桥涵队-侯佳,侯佳付新疆阿勒泰生活费
2021/9/23,支出,日常运营,伙食费,-282,G331青富阿一标四工区桥涵队-,王等4人餐费
2021/9/23,支出,日常运营,车辆维修租赁,-1700,G331青富阿一标四工区桥涵队-青河汇众汽修厂,付C37面包车保养修理费、皮卡车加机油、换防冻液等款
2021/9/23,支出,机械物料,机械租赁,-500,G331青富阿一标四工区桥涵队-青河吊车梁永刚,付吊车卸钢波纹管一车使用费
2021/9/23,支出,日常运营,伙食费,-516,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付购蔬菜、猪肉等一批
2021/9/23,支出,日常运营,伙食费,-166,G331青富阿一标四工区桥涵队-马旭光面店,付面条、馒头、豆腐等款
2021/9/22,支出,机械物料,工机具,-1000,G331青富阿一标四工区桥涵队-青河众信五金超市,付碘钨灯、电镐头等机具、电料款
2021/9/22,支出,日常运营,燃气费,-115,G331青富阿一标四工区桥涵队-青河液化气站,付换液化气瓶款
2021/9/22,支出,机械物料,运费,-100,G331青富阿一标四工区桥涵队-青河货场,付货运发电机运费
2021/9/22,支出,日常运营,伙食费,-82,G331青富阿一标四工区桥涵队-,付蔬菜、豆角、白菜等款
2021/9/22,支出,日常运营,伙食费,-150,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付米、油、调料、榨菜等款
2021/9/22,支出,日常运营,伙食费,-36,G331青富阿一标四工区桥涵队-马旭光面店,付面条款
2021/9/21,支出,日常运营,生活用品,-140,G331青富阿一标四工区桥涵队-,中秋节工人洗澡费用
2021/9/21,支出,日常运营,伙食费,-60,G331青富阿一标四工区桥涵队-马旭光面店,付面条款
2021/9/21,支出,办公费用,房租水电物管,-100,G331青富阿一标四工区桥涵队-国家电网,驻地房屋交电费
2021/9/21,支出,日常运营,车辆维修租赁,-35,G331青富阿一标四工区桥涵队-,车辆洗车费
2021/9/21,支出,日常运营,生活用品,-160,G331青富阿一标四工区桥涵队-,中秋节工人洗澡费用
2021/9/21,支出,人工支出,工人借支,-500,G331青富阿一标四工区桥涵队-,赵可借支500元
2021/9/21,支出,机械物料,二三项料,-88,G331青富阿一标四工区桥涵队-青河腾博建材,袋装水泥4袋
2021/9/20,支出,办公费用,招待费,-250,G331青富阿一标四工区桥涵队-,付招待烟1条（工区王新贵）
2021/9/20,支出,办公费用,招待费,-931,G331青富阿一标四工区桥涵队-,付招待烟4条（刘总监、工区包国峰）
2021/9/20,支出,办公费用,招待费,-400,G331青富阿一标四工区桥涵队-,付招待烟2条（项目邓总）
2021/9/19,支出,机械物料,机械租赁,-2800,G331青富阿一标四工区桥涵队-青河吊车梁永刚,付吊车浇筑箱涵顶板混凝土使用台班费
2021/9/18,支出,机械物料,机械租赁,-800,G331青富阿一标四工区桥涵队-青河吊车梁永刚,付吊车卸钢筋机械租赁费
2021/9/18,支出,机械物料,工机具,-1906,G331青富阿一标四工区桥涵队-青河众信五金超市,付三相振动棒、电线、沥青漆等机具材料款
2021/9/18,支出,日常运营,车辆维修租赁,-1000,G331青富阿一标四工区桥涵队-,付交警违章处罚（马逢明）
2021/9/17,收入,项目备用金,项目备用金,20000,G331青富阿一标四工区桥涵队-侯佳,侯佳付新疆阿勒泰生活费
2021/9/17,支出,办公费用,差旅费,-220,G331青富阿一标四工区桥涵队-青河新华酒店,付3人洗澡住宿费用
2021/9/16,支出,人工支出,工人借支,-500,G331青富阿一标四工区桥涵队-,付汤旭东借支500元
2021/9/16,支出,人工支出,工人借支,-2000,G331青富阿一标四工区桥涵队-,付冯学民、赵凤堂离场回程路费借支每人各1000元
2021/9/16,支出,机械物料,周转材料,-4500,G331青富阿一标四工区桥涵队-青河申景平,付6米钢管50根
2021/9/16,支出,日常运营,伙食费,-82,G331青富阿一标四工区桥涵队-马旭光面店,付面条、馒头等食品款
2021/9/16,支出,日常运营,车辆燃油费（汽油）,-506,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付车辆加油款
2021/9/15,支出,日常运营,车辆燃油费（汽油）,-130,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付C37面包车加油款
2021/9/15,支出,日常运营,车辆燃油费（汽油）,-344,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付五菱宏光面包车加油款
2021/9/15,支出,日常运营,邮寄费,-103,G331青富阿一标四工区桥涵队-京东快递,付快递运费
2021/9/15,支出,机械物料,机械租赁,-7900,G331青富阿一标四工区桥涵队-清河荣盛机械租赁公司,付卡特320挖机租赁费（4天）
2021/9/15,支出,机械物料,二三项料,-3360,G331青富阿一标四工区桥涵队-青河腾博建材,付松木方120根，大板20张
2021/9/13,支出,机械物料,机械租赁,-1000,G331青富阿一标四工区桥涵队-青河吊车梁永刚,付吊车使用卸钢筋费用
2021/9/13,支出,日常运营,伙食费,-93,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,付粮油、蔬菜等食品款
2021/9/12,收入,项目备用金,项目备用金,30000,G331青富阿一标四工区桥涵队-侯佳,侯佳付新疆阿勒泰生活费
2021/9/12,支出,机械物料,周转材料,-10800,G331青富阿一标四工区桥涵队-青河申景平,付6米钢管120根
2021/9/12,支出,机械物料,工机具,-1800,G331青富阿一标四工区桥涵队-,付汽油发电机、电焊机款（王建）
2021/9/12,支出,机械物料,二三项料,-400,G331青富阿一标四工区桥涵队-青河众信五金超市,付防腐沥青漆和松香水共8桶
2021/9/12,支出,日常运营,车辆燃油费（汽油）,-221,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付车辆加油款（王建）
2021/9/11,支出,机械物料,机械租赁,-500,G331青富阿一标四工区桥涵队-青河20吨随车吊周小娃,付20吨随车吊卸钢筋使用费
2021/9/11,支出,日常运营,车辆燃油费（汽油）,-194,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付C37面包车加油款
2021/9/10,支出,日常运营,车辆燃油费（汽油）,-341,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付车辆加油款
2021/9/10,支出,机械物料,二三项料,-157,G331青富阿一标四工区桥涵队-青河废品站,付钢板款（35cm*4.5）
2021/9/10,支出,办公费用,招待费,-292,G331青富阿一标四工区桥涵队-,招待工区包国峰等4人就餐款
2021/9/9,支出,办公费用,招待费,-502,G331青富阿一标四工区桥涵队-,招待工人（任灶民）等7人就餐费
2021/9/9,支出,日常运营,邮寄费,-200,G331青富阿一标四工区桥涵队-青河货场,付货场提货运费
2021/9/9,支出,机械物料,机械租赁,-1700,G331青富阿一标四工区桥涵队-,付随车吊浇筑箱涵混凝土机械租赁费
2021/9/9,支出,日常运营,伙食费,-65,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购调料等食品款
2021/9/8,支出,机械物料,周转材料,-4872,G331青富阿一标四工区桥涵队-青河众信五金超市,付顶丝200个，转向扣件60个，扎丝50包等
2021/9/7,支出,日常运营,车辆燃油费（汽油）,-268.2,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付车辆加油款
2021/9/7,支出,日常运营,生活用品,-315,G331青富阿一标四工区桥涵队-,付工人拉肚子医药费等
2021/9/7,支出,日常运营,车辆燃油费（汽油）,-245,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付车辆加油款
2021/9/7,支出,机械物料,周转材料,-2240,G331青富阿一标四工区桥涵队-青河申景平,付6米架管25根
2021/9/6,支出,机械物料,周转材料,-1053,G331青富阿一标四工区桥涵队-青河众信五金超市,付3*￥电缆线22米，胶布、对拉丝、16#PVC线管等
2021/9/6,支出,日常运营,伙食费,-60,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购食品等款
2021/9/6,支出,办公费用,招待费,-168,G331青富阿一标四工区桥涵队-,高治国、牛振、王3人餐饮费
2021/9/6,支出,办公费用,交通费,-200,G331青富阿一标四工区桥涵队-,青河-乌市车费
2021/9/6,支出,日常运营,生活用品,-108,G331青富阿一标四工区桥涵队-,付生活饮水、零食等款
2021/9/5,支出,办公费用,招待费,-700,G331青富阿一标四工区桥涵队-,牛振、徐博等住宿、餐饮、烟2条和招待费2次
2021/9/5,支出,日常运营,生活用品,-310,G331青富阿一标四工区桥涵队-,医院看病治疗费（徐博）
2021/9/5,支出,机械物料,工机具,-190,G331青富阿一标四工区桥涵队-,M14紧固器19个（徐博）
2021/9/5,支出,日常运营,车辆燃油费（汽油）,-350,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,C37面包车加油2次（徐博）
2021/9/5,支出,机械物料,二三项料,-260,G331青富阿一标四工区桥涵队-青河顺和五金,付水泥垫块（10包）款
2021/9/5,支出,机械物料,工机具,-341,G331青富阿一标四工区桥涵队-青河众信五金超市,付工机具（切割片等）材料一批
2021/9/4,支出,日常运营,伙食费,-66,G331青富阿一标四工区桥涵队-,付王等3人餐费
2021/9/4,支出,机械物料,周转材料,-2245,G331青富阿一标四工区桥涵队-青河申景平,付2.5架管42根，1.3米架管12根，脚手架2副
2021/9/4,支出,机械物料,周转材料,-2120,G331青富阿一标四工区桥涵队-青河众信五金超市,付顶丝188个，拉紧器20个，扇型扣200个
2021/9/4,支出,办公费用,通信费,-300,G331青富阿一标四工区桥涵队-,付网络宽带和高治国电话费
2021/9/4,支出,办公费用,交通费,-432,G331青富阿一标四工区桥涵队-,付杨玉喜等2人自库车-乌市路费
2021/9/3,收入,项目备用金,项目备用金,30000,G331青富阿一标四工区桥涵队-侯佳,侯佳付新疆阿勒泰生活费
2021/9/3,支出,人工支出,工人借支,-1000,G331青富阿一标四工区桥涵队-,付张五权借支
2021/9/3,支出,日常运营,车辆燃油费（汽油）,-200,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付车辆加油款
2021/9/3,支出,机械物料,周转材料,-5680,G331青富阿一标四工区桥涵队-青河申景平,付架管80根，十字扣件260个，顶丝68个，直接扣件100个，转扣17个
2021/9/3,支出,机械物料,二三项料,-115,G331青富阿一标四工区桥涵队-青河顺和五金,付3.2#焊条1件
2021/9/3,支出,日常运营,伙食费,-27,G331青富阿一标四工区桥涵队-,付餐费
2021/9/1,收入,项目备用金,项目备用金,20000,G331青富阿一标四工区桥涵队-侯佳,侯佳付新疆阿勒泰生活费
2021/9/1,支出,机械物料,二三项料,-630,G331青富阿一标四工区桥涵队-青河顺和五金,付试压模、铁丝、扎丝钩等材料工具款
2021/9/1,支出,机械物料,周转材料,-11480,G331青富阿一标四工区桥涵队-青河腾博建材,付6米钢管121根
2021/9/1,支出,机械物料,二三项料,-520,G331青富阿一标四工区桥涵队-青河顺和五金,付五金机具等材料（扎丝）一批
2021/9/1,支出,日常运营,车辆燃油费（汽油）,-220,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付C37面包车加油款
2021/9/1,支出,日常运营,伙食费,-64,G331青富阿一标四工区桥涵队-马旭光面店,购馒头、面条等款
2021/8/31,支出,日常运营,生活用品,-241,G331青富阿一标四工区桥涵队-,付购零食等生活用品款
2021/8/30,支出,办公费用,招待费,-952,G331青富阿一标四工区桥涵队-,招待工区项目部人员餐费
2021/8/29,支出,机械物料,修理费,-160,G331青富阿一标四工区桥涵队-乌鲁木齐顶峰电动工具商行,付购料斗配钢丝绳2条款
2021/8/29,支出,日常运营,车辆燃油费（汽油）,-270,G331青富阿一标四工区桥涵队-,付王建乌市-青河皮卡车加油款
2021/8/29,支出,办公费用,交通费,-348,G331青富阿一标四工区桥涵队-,付王建到乌市接车、接人过路费、车费
2021/8/29,支出,日常运营,车辆燃油费（汽油）,-568.5,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付车辆加汽油款
2021/8/29,支出,机械物料,工机具,-91.5,G331青富阿一标四工区桥涵队-青河顺和五金,付五金工具款
2021/8/29,支出,日常运营,伙食费,-230,G331青富阿一标四工区桥涵队-青河湘富食品粮油蔬菜店,购菜油、蔬菜、面条、馒头等
2021/8/29,支出,机械物料,周转材料,-2345,G331青富阿一标四工区桥涵队-青河废品站,付钢管、顶丝、扣件等款
2021/8/28,收入,项目备用金,项目备用金,30000,G331青富阿一标四工区桥涵队-侯佳,侯佳付新疆阿勒泰生活费
2021/8/25,支出,日常运营,生活用品,-60,G331青富阿一标四工区桥涵队-,高治国核酸检测费
2021/8/25,支出,机械物料,二三项料,-700,G331青富阿一标四工区桥涵队-乌鲁木齐新联市场标准件,付止水带款（5卷*140元/卷）
2021/8/25,支出,办公费用,差旅费,-665,G331青富阿一标四工区桥涵队-,付高治国等3人西安-青河住宿、餐饮等差旅费
2021/8/25,支出,办公费用,交通费,-992,G331青富阿一标四工区桥涵队-,付高治国等3人西安-青河开车过路费
2021/8/25,支出,日常运营,车辆燃油费（汽油）,-1401,G331青富阿一标四工区桥涵队-,付高治国等3人西安-青河开车燃油费
2021/8/24,支出,办公费用,差旅费,-215,G331青富阿一标四工区桥涵队-,付高治国西安发生差旅费等
2021/8/23,支出,机械物料,修理费,-1200,G331青富阿一标四工区桥涵队-乌鲁木齐华凌市场发电机售后,付柴油发电机返厂维修更换电机款
2021/8/22,支出,办公费用,差旅费,-395,G331青富阿一标四工区桥涵队-,付高治国乌市住宿、餐饮等款
2021/8/22,支出,办公费用,交通费,-784,G331青富阿一标四工区桥涵队-,付高治国乌市-西安机票款
2021/8/22,支出,办公费用,交通费,-238,G331青富阿一标四工区桥涵队-,付高治国青河-乌市交通费
2021/8/20,支出,办公费用,招待费,-535,G331青富阿一标四工区桥涵队-,付高治国购烟2条
2021/8/20,支出,办公费用,差旅费,-300,G331青富阿一标四工区桥涵队-,付住宿费
2021/8/20,支出,日常运营,车辆燃油费（汽油）,-178,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,C37面包车加汽油
2021/8/20,支出,日常运营,伙食费,-78,G331青富阿一标四工区桥涵队-马旭光面店,面条、馒头
2021/8/20,支出,日常运营,邮寄费,-120,G331青富阿一标四工区桥涵队-青河货场,付返厂维修发电机运费
2021/8/20,支出,日常运营,伙食费,-26,G331青富阿一标四工区桥涵队-,付桶装水2桶等款
2021/8/20,支出,机械物料,工机具,-700,G331青富阿一标四工区桥涵队-青河昌达五金机电商店,付五金机具材料一批
2021/8/20,支出,办公费用,通信费,-280,G331青富阿一标四工区桥涵队-,办理移动宽带业务费
2021/8/20,支出,日常运营,车辆燃油费（汽油）,-271,G331青富阿一标四工区桥涵队-,小货车加汽油
2021/8/17,支出,办公费用,办公用品,-153,G331青富阿一标四工区桥涵队-,购油性笔、订书机、碘酒、信签纸、中性笔等办公文具
2021/8/16,支出,机械物料,工机具,-450,G331青富阿一标四工区桥涵队-青河顺和五金,付五金机具材料等款
2021/8/16,支出,日常运营,车辆燃油费（汽油）,-172,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,C37面包车加油款
2021/8/16,支出,日常运营,伙食费,-77,G331青富阿一标四工区桥涵队-,购大蒜、葱姜、玉米珍等
2021/8/16,支出,办公费用,房租水电物管,-1000,G331青富阿一标四工区桥涵队-国家电网,预缴三相电电费1000元
2021/8/16,支出,日常运营,生活用品,-142,G331青富阿一标四工区桥涵队-,付药店购测温枪、酒精、口罩等款
2021/8/15,支出,机械物料,工机具,-2095,G331青富阿一标四工区桥涵队-青河顺和五金,付五金机具电料等一批
2021/8/15,支出,机械物料,工机具,-170,G331青富阿一标四工区桥涵队-青河昌达五金机电商店,付五金电料材料款
2021/8/15,支出,日常运营,邮寄费,-15,G331青富阿一标四工区桥涵队-青河货场,货场取件货运费
2021/8/15,支出,日常运营,车辆燃油费（汽油）,-264.8,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,小货车加汽油
2021/8/15,支出,日常运营,伙食费,-33,G331青富阿一标四工区桥涵队-马旭光面店,面条
2021/8/14,支出,日常运营,生活用品,-227,G331青富阿一标四工区桥涵队-,购生活用品一批（洗衣粉、床单、被罩、鞋垫等）
2021/8/14,支出,机械物料,工机具,-270,G331青富阿一标四工区桥涵队-青河顺和五金,付五金工机具一批（插头、插排等）
2021/8/14,支出,机械物料,周转材料,-4457,G331青富阿一标四工区桥涵队-青河废品站,付57根架管款
2021/8/13,支出,办公费用,办公用品,-150,G331青富阿一标四工区桥涵队-乌鲁木齐诚信试验仪器,购塌落度桶一套
2021/8/13,支出,日常运营,伙食费,-28,G331青富阿一标四工区桥涵队-马旭光面店,购面条款
2021/8/13,支出,机械物料,工机具,-490,G331青富阿一标四工区桥涵队-青河昌达五金机电商店,付五金机具一批
2021/8/13,支出,日常运营,车辆燃油费（汽油）,-204,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付C37面包车加油款
2021/8/12,支出,办公费用,办公用品,-90,G331青富阿一标四工区桥涵队-青河昌达五金机电商店,付试压块模具款9个
2021/8/12,支出,办公费用,通信费,-200,G331青富阿一标四工区桥涵队-,付岳父电话费
